No.,通称,形状,出現率,AUF,手順,メモ,難易度,タグ1,タグ2,タグ3
1,ランウェイ,Dot Case,1/108,,(R U2') (R2' F R F') U2' (R' F R F'),(R U2' R') (sledge) U2' (sledge),3,,,
2,ザンボニ（整氷車）,Dot Case,1/54,,F (R U R' U') F' -  f (R U R' U') f',側面三連が左 / (T) (Fat T),1,,,
3,卍,Dot Case,1/54,,f (R U R' U') f' - U' - F (R U R' U') F,(Fat T) - U' - (T),3,,,
4,逆卍,Dot Case,1/54,,f (R U R' U') f' - U - F (R U R' U') F',(Fat T) - U - (T),3,,,
5,右スクエア,Square Shapes,1/54,,(r' U2' R U) (R' U r),OLL 6 の逆,3,,,
6,左スクエア,Square Shapes,1/54,,(r U2 R' U') (R U' r'),OLL 26 (アンチスーン) の最初と最後が2層回し,3,,,
7,ライトニング（ワイドスーン）,Small Lightning,1/54,,(r U R' U) (R U2 r'),OLL 27 (スーン) の最初と最後が2層回し,3,,,
8,反転ライトニング,Small Lightning,1/54,,(r' U' R U') (R' U2 r),OLL 7 の逆,3,,,
9,Kite,Fish Shapes,1/54,y,(R U R' U') R' F (R2 U R' U') F',Starts as a T-perm,4,,,
10,Anti-Kite,Fish Shapes,1/54,,(R U R' U) (R' F R F') (R U2' R'),(sune)(sledge)(ne),4,,,
11,下り階段,Small Lightning,1/54,,M (R U R' U) (R U2’ R') U M',M (スーン) U M',4,,,
12,上り階段,Small Lightning,1/54,,M' (R' U' R U') (R' U2 R) U' M,M' (逆スーン) U' M,4,,,
13,Gun,Knight Move Shapes,1/54,,F U (R U2 R') (U' R U R') F',,5,,,
14,Anti-Gun,Knight Move Shapes,1/54,,R' F (R U R') F' R (F U' F'),,5,,,
15,Squeegee,Knight Move Shapes,1/54,,(r' U' r) (R' U' R U) (r' U r),,5,,,
16,Anti-Squeegee,Knight Move Shapes,1/54,,(r U r') (R U R' U') (r U' r'),,5,,,
17,スラッシュ,Dot Case,1/54,,(R U R' U) (R' F R F') U2' (R' F R F'),(R U R' U) (sledge) U2' (sledge),4,,,
18,クラウン,Dot Case,1/54,,(r U R' U R U2 r') (r' U' R U' R' U2 r),(Fat sune) - (Fat anti-sune),4,,,
19,バニー,Dot Case,1/54,,M U (R U R' U') M' (R' F R F'),M U (sexy) M' (sledge),5,,,
20,X / チェッカー,Dot Case,1/216,,M U (R U R' U') M2' (U R U' r'),M U (sexy) M2' (inserT),5,,,
21,十字H,Cross,1/108,y,(R U R' U) (R U' R' U) (R U2' R'),スーン前半-(R U' R' U)-スーン後半,1,,,
22,十字Pi,Cross,1/54,,R U2' R2' U' R2 U' R2' U2' R,,1,,,
23,十字U,Cross,1/54,,R2 D (R' U2 R) D' (R' U2 R'),,1,,,
24,十字L,Cross,1/54,,(r U R' U') (r' F R F'),(Sexy) (Sledge),1,,,
25,十字T,Cross,1/54,y,F' (r U R' U') r' F R,OLL 24 の最後のF'を最初に,1,,,
26,スーン,Cross,1/54,,(R U2' R' U') (R U' R'),アンチスーン,1,,,
27,アンチスーン,Cross,1/54,,(R U R' U) (R U2' R'),スーン,1,,,
28,アロー,All Corners Oriented,1/54,,(r U R' U') r' R (U R U' R'),(Sexy) r' R (insert),5,,,
29,,Awkward-Shapes,1/54,y,(R U R') U' (R U' R') (F' U' F) (R U R'),,5,,,
30,,Awkward-Shapes,1/54,y2,F U (R U2 R') U' (R U2 R') U' F',,5,,,
31,カウチ,P-Shapes,1/54,,(R' U' F) (U R U' R') F' R,Inverse of Big Lightning,5,,,
32,アンチカウチ,P-Shapes,1/54,,S (R U R' U') (R' F R f'),S (sexy) (sledgE) / S - (keY),5,,,
33,Key,T-Shapes,1/54,,(R U R' U') (R' F R F'),(sexy) (sledge),2,,,
